Feedback,Priority
"Deposit of ₹10,000 not reflecting in my account even after 24 hours. Please fix urgently!",1
"Mutual fund purchase debited from my bank account, but units not showing in portfolio. Investigate ASAP!",1
Dividend payout from stock I sold missing from my account. This is concerning!,1
Unable to withdraw funds. Stuck in 'Processing' stage for hours. Need my money!,1
Suspicious activity alert for unauthorized stock sale in my account. Please lock it and investigate immediately!,1
App keeps crashing when I try to log in. Can't access my portfolio!,1
System error every time I attempt to buy mutual funds. Losing out on good opportunities!,1
Sudden app crash during active trading session. Worried about missed orders and losses.,1
Market data not refreshing for the past hour. Missing critical updates before crucial trade decision.,1
Error message 'Internal Server Issue' pops up constantly. Unable to use any app features.,1
"Buy order for 'ABC Ltd.' stuck in 'pending' for over 30 minutes. Market moving fast, please resolve!",1
Unable to modify stop-loss order for existing mutual fund holding. Need to adjust risk urgently!,1
Sold my shares accidentally due to unresponsive 'Sell' button. Please reverse the order!,1
Missing 'Sell All' option for a specific stock. Need to liquidate my position immediately!,1
Order confirmation not received for my recent mutual fund investment. Did it go through?,1
"System is crashing constantly, losing potential investment opportunities.",1
Money deducted for purchase but shares/units not credited to account.,1
Add real-time order book data for better buy/sell decision making.,1
"App keeps freezing, making it impossible to manage my portfolio.",1
"Subscription fees charged twice, double billing issue needs immediate resolution.",1
"Data feeds are lagging, showing inaccurate prices and causing confusion.",1
"Order history showing wrong details, discrepancies in transaction logs.",1
"Unable to log in, receiving error message ""Invalid credentials"" despite correct input.",1
"Incorrect dividend/interest amounts displayed, causing concerns about accuracy.",1
"Buy/Sell orders not going through, experiencing timeouts and network errors.",1
"Charting tools aren't working, unable to analyze market trends.",1
"News and research sections are loading endlessly, preventing timely information access.",1
"Watchlist not updating automatically, missing critical market movements.",1
Push notifications for order executions and price alerts not working.,1
"App constantly draining battery, making it unreliable for on-the-go trading.",1
"Unable to add funds, facing payment processing errors.",1
Option to set stop-loss and take-profit orders directly from charts.,1
"Unable to log in, receiving error message ""Invalid credentials"" despite correct input.",1
"Incorrect dividend/interest amounts displayed, causing concerns about accuracy.",1
Integrate news sentiment analysis to gauge market sentiment based on headlines.,1
Implement paper trading mode to practice strategies without risking real money.,1
Provide personalized investment recommendations based on risk tolerance and goals.,1
Enable fractional share purchase for greater diversification with limited capital.,1
Offer automated investment tools for recurring deposits and portfolio rebalancing.,1
"Data feeds are lagging, showing inaccurate prices and causing confusion.",1
"Unable to add funds, facing payment processing errors.",1
Improve search functionality for finding specific mutual funds and stocks.,1
"Unable to log in, receiving error message ""Invalid credentials"" despite correct input.",1
"System is crashing constantly, losing potential investment opportunities.",1
